0	-1.452869	-1.362819	-6.802437	-20.44228	-0.07681845	0.02616154	3.126825	-0.09870007	0
0.02	-1.571169	-1.362819	-5.520815	-10.01672	0.6497953	0.2210617	25.19998	9.046337	5.653015
0.04	-1.287433	-1.294529	-2.366747	-3.883845	1.501206	1.011826	12.68357	9.351681	4.318915
0.06	-1.540871	-1.704267	-1.782494	-5.898025	1.480861	1.212801	11.44188	-0.7551886	5.557074
0.08	-0.9029366	-1.02137	2.674944	8.889938	1.545278	1.219598	5.951186	-1.243738	4.604836
0.1	-1.662505	-1.635977	-0.8399808	-3.326514	1.223115	1.426843	-14.12161	-5.167402	0.6971602
0.12	0.55053	0.3444233	9.328608	23.46646	0.7551843	0.6376209	-20.97977	-2.404043	-3.678851
0.14	-0.4921927	-0.6799221	2.640243	-0.7935805	-0.6568885	-0.05421427	-15.42166	-22.61778	-2.121996
0.16	-0.9512553	-1.02137	-0.1511797	-3.666753	-1.140999	-1.333873	20.26436	-0.2971734	0.5950648
0.18	0.4725683	0.2761335	6.371386	17.97315	-0.4096501	-1.110622	21.91144	5.199009	0.814999
0.2	-0.3278456	-0.6799221	1.701628	-1.231743	-0.6673205	-0.9551814	14.02008	-8.785722	-0.5339549
0.22	-0.3719677	-0.6799221	1.139021	-0.6035538	-0.7408367	-1.383471	20.99837	1.290613	-1.625559
0.24	-0.4616634	-0.6116323	0.4792683	0.728605	-0.323469	-0.7820933	16.66325	0.03870412	0.08448349
0.26	-0.453146	-0.6799221	0.549	-0.360026	-0.1922246	-0.7209844	15.82935	4.084506	-0.4506035
0.28	-0.4648838	-0.6799221	0.5640947	-0.1764127	-0.07761344	-0.5346535	13.82485	0.1913759	-0.07441361
0.3	-0.3917924	-0.6799221	1.034652	-0.08644224	-0.1209232	-0.620919	14.91241	-0.02236417	-0.2380877
0.32	-0.4051785	-0.6799221	0.9871888	-0.0423567	-0.1569109	-0.6443073	14.35217	0.09977327	-0.4353919
0.34	-0.3823616	-0.6799221	1.117785	-0.02075478	-0.2131471	-0.7204306	15.66483	-0.02236417	-0.3732714
0.36	-0.4121454	-0.6799221	0.9337957	-0.01016984	-0.217225	-0.727911	15.09653	0.05397173	-0.608038
0.38	-0.386638	-0.6799221	1.052291	-0.004983223	-0.2497451	-0.7942799	16.31492	-0.08343289	-0.6218414
0.4	-0.4179773	-0.6799221	0.8156867	-0.3097457	-0.2169752	-0.7220979	14.27947	-0.03763135	-0.8506211
0.42	-0.4053805	-0.6799221	0.9022774	-0.1517754	-0.2277009	-0.7421762	16.23234	0.02343737	-0.3198862
0.44	-0.4559495	-0.6799221	0.5950729	-0.3816739	-0.1425288	-0.6118408	13.05153	0.02343737	-0.6863762
0.46	-0.4913825	-0.7482109	0.51104	-1.211352	-0.1649733	-0.6507944	15.44568	-0.06816571	-0.1928877
0.48	-0.4348316	-0.6799221	0.8307217	0.1234699	-0.1094965	-0.6291062	14.39367	0.8173303	-0.5460343
0.5	-0.4283011	-0.6799221	0.8913125	0.06050023	-0.1128663	-0.5933003	13.87485	-0.1139672	-0.3864264
0.52	-0.4882716	-0.7482109	0.6483545	-0.994687	-0.1310163	-0.5883641	14.52778	-0.007096993	-0.1131563
0.54	-0.4405811	-0.6799221	0.9125731	0.2296358	-0.0792731	-0.5454649	13.59365	0.03870412	-0.2224785
0.56	-0.3592431	-0.6116323	1.299205	1.136868	-0.1001538	-0.5698367	13.05374	-0.02236417	-0.4256363
0.58	-0.4160064	-0.6799221	0.9963404	-0.1599772	-0.1721355	-0.6167738	14.07398	0.008170187	-0.2175037
0.6	-0.3048775	-0.5433426	1.475643	1.970304	-0.1432343	-0.6160217	13.56726	0.02343737	-0.3627654
0.62	-0.4394681	-0.6799221	0.735885	-0.7759399	-0.1668308	-0.5566047	12.86636	-0.02236417	-0.148526
0.64	-0.4452354	-0.6799221	0.7415598	-0.3802105	-0.1511018	-0.6097371	14.83611	0.02343737	-0.03254113
0.66	-0.4311644	-0.6799221	0.8555414	-0.1863032	-0.105629	-0.5823929	14.71324	-0.05289853	-0.06912923
0.68	-0.4371525	-0.6799221	0.8516117	-0.09128854	-0.08645129	-0.5612808	13.78786	-0.007096993	-0.2884078
0.7	-0.4051353	-0.6799221	1.05241	-0.04473139	-0.1191602	-0.6045642	14.72521	-0.02236417	-0.1849528
0.72	-0.4395448	-0.6799221	0.8721781	-0.02191838	-0.1036359	-0.5652961	13.66339	-0.05289853	-0.2718589
0.74	-0.3697524	-0.6116323	1.209055	1.013606	-0.09226981	-0.5564995	13.50997	0.03870412	-0.220838
0.76	-0.4267879	-0.6799221	0.9635594	0.08692425	-0.140904	-0.6119204	15.25309	-0.05289853	0.04361966
0.78	-0.4438428	-0.6799221	0.8668297	0.04259288	-0.09271912	-0.5627145	13.79631	-0.05289853	-0.2637396
0.8	-0.4045958	-0.6799221	1.030463	-0.2864335	-0.1309562	-0.6221433	13.6057	0.008170187	-0.664315
