Tiempo_s	Posicion_m	Angulo_rad
0	0.0674360617995262	0.0741623938083649
0.02	0.0360228084027767	0.0741623938083649
0.04	0.0189503878355026	0.0741623938083649
0.1	0.0230477694422007	0.0741623938083649
0.12	0.0155359031632543	0.0741623938083649
0.14	0.0387543961405754	0.0741623938083649
0.16	0.0155359031632543	0.0741623938083649
0.18	0.0216819737106562	0.0741623938083649
0.2	0.0155359031632543	0.0741623938083649
0.22	0.0196332838386297	0.0741623938083649
0.24	0.0326083227992058	0.0741623938083649
0.26	0.0326083227992058	0.0741623938083649
0.28	0.042168878018856	0.0741623938083649
0.3	0.0387543961405754	0.0741623938083649
0.32	0.0353399105370045	0.0741623938083649
0.34	0.0517294369637966	0.0741623938083649
0.36	0.0578755028545856	0.0741623938083649
0.38	0.0742650330066681	0.0741623938083649
0.4	0.0776795148849487	0.0741623938083649
0.42	0.0810939967632294	0.0741623938083649
0.44	0.0981664210557938	0.0741623938083649
0.46	0.0974835231900215	0.0741623938083649
0.48	0.111824363470078	0.0741623938083649
0.5	0.121384918689728	0.0741623938083649
0.52	0.122067801654339	0.0741623938083649
0.54	0.13162836432457	0.0741623938083649
0.56	0.142554715275764	0.0741623938083649
0.58	0.162358716130257	0.0741623938083649
0.6	0.165773198008537	0.0741623938083649
0.62	0.171236380934715	0.0741623938083649
0.64	0.187625899910927	0.0741623938083649
0.66	0.194454878568649	0.0741623938083649
0.68	0.210844397544861	0.0741623938083649
0.7	0.2231365442276	0.0741623938083649
0.72	0.240891858935356	0.0741623938083649
0.74	0.257964283227921	0.0741623938083649
0.76	0.260695844888687	0.0741623938083649
0.78	0.278451174497604	0.0741623938083649
0.8	0.287328839302063	0.0741623938083649
0.82	0.305084139108658	0.0741623938083649
0.84	0.315327614545822	0.0741623938083649
0.86	0.328985571861267	0.0741623938083649
0.88	0.344009280204773	0.0741623938083649
