Tiempo_s	Posicion_m	Angulo_rad
0	0.0216819737106562	0.109626181423664
0.02	0.0216819737106562	0.109626181423664
0.04	0.0189503878355026	0.109626181423664
0.0600000000000001	0.0155359031632543	0.109626181423664
0.08	0.0189503878355026	0.109626181423664
0.1	0.0257793553173542	0.109626181423664
0.12	0.0250964593142271	0.109626181423664
0.14	0.0250964593142271	0.109626181423664
0.16	0.0346570126712322	0.109626181423664
0.18	0.0414859801530838	0.109626181423664
0.2	0.045583363622427	0.109626181423664
0.22	0.0578755028545856	0.109626181423664
0.24	0.0804110988974571	0.109626181423664
0.26	0.0940690413117409	0.109626181423664
0.28	0.0865571722388268	0.109626181423664
0.3	0.0940690413117409	0.109626181423664
0.32	0.111824363470078	0.109626181423664
0.34	0.124799393117428	0.109626181423664
0.36	0.138457342982292	0.109626181423664
0.38	0.160992920398712	0.109626181423664
0.4	0.167821899056435	0.109626181423664
0.42	0.184211432933807	0.109626181423664
0.44	0.197186470031738	0.109626181423664
0.46	0.219722062349319	0.109626181423664
0.48	0.233379989862442	0.109626181423664
0.5	0.257281392812729	0.109626181423664
0.52	0.282548546791077	0.109626181423664
0.54	0.298938095569611	0.109626181423664
0.56	0.318059206008911	0.109626181423664
