0	-0.3854502	-0.3384733	-1.820994	-5.0771	0.007380402	0.05338616	-0.05074853	-7.726651e-05	-0
0.02	-0.3743092	-0.3384733	-1.322594	-2.795083	0.1594034	0.05769552	5.218597	1.816716	1.095957
0.04	-0.3663582	-0.3384733	-0.886542	-1.676894	0.3902579	0.348967	1.124722	-0.1985506	1.140027
0.06	-0.3197322	-0.2701836	-0.3246919	0.2026681	0.4603533	0.4681058	-2.42251	-0.2901537	0.7912232
0.08	-0.2549745	-0.2701836	0.1878664	0.09930736	0.3271816	0.3466482	-2.988344	-0.01534445	0.2547112
0.1	-0.4662548	-0.4067631	-0.7147631	-1.692728	0.2650007	0.3809236	-2.557406	-0.04587881	0.8876262
0.12	-0.2871275	-0.2701836	0.2707814	0.6046481	0.2784483	0.3064923	-2.534941	0.03045709	0.3683007
0.14	-0.2973077	-0.2701836	0.2486272	0.6035814	0.2111802	0.2767674	-2.438576	0.01518991	0.4971948
0.16	-0.4676954	-0.4067631	-0.5957525	-1.752938	0.2034148	0.3264354	-3.361907	-0.01534445	0.4920024
0.18	-0.3161113	-0.2701836	0.2328602	0.8824493	0.2413556	0.2849456	-1.81717	0.1678617	0.6418363
0.2	-0.3755291	-0.3384733	-0.097038	-0.5919462	0.2059077	0.2791983	-3.702326	0.01518991	0.04868033
0.22	-0.356591	-0.2701836	0.05007935	1.041597	0.2348309	0.3231421	-2.206563	0.04572427	0.8918186
0.24	-0.3552153	-0.3384733	0.1017038	-0.2066601	0.2008875	0.2560974	-1.607167	-0.06114598	0.5840831
0.26	-0.3673838	-0.3384733	0.06927142	-0.1012634	0.2118293	0.2895337	-1.808538	-0.01534445	0.7587018
0.28	-0.3641765	-0.3384733	0.1065838	-0.04961909	0.2075409	0.2720326	-1.922541	-0.04587881	0.5954069
0.3	-0.3708427	-0.3384733	0.03881679	-0.3316172	0.2136782	0.3072026	-3.3468	-0.06114598	0.3889206
0.32	-0.4133762	-0.3384733	-0.2126322	-0.4697964	0.2356305	0.3671197	-4.470006	-0.07641316	0.425638
0.34	-0.4832758	-0.4067631	-0.440372	-0.9472426	0.2428209	0.3523396	-1.641372	0.09152581	1.137001
0.36	-0.3796708	-0.3384733	0.1346326	0.2528935	0.3004601	0.3596316	-2.946458	0.03045709	0.560828
0.38	-0.2960554	-0.2701836	0.4895936	0.8409603	0.2568829	0.3532181	-4.820831	-0.06114598	0.1769973
0.4	-0.8646584	-0.7482109	-2.209289	-6.143732	0.1872537	0.3672304	-2.261849	-0.1069475	0.9381742
0.42	-1.072766	-1.02137	-2.357647	-5.878598	0.3137465	0.1660218	12.7993	0.3510679	3.364215
0.44	-0.3194845	-0.2701836	1.659454	6.850768	0.8655656	0.6737069	-3.944026	3.831984	0.3834887
