0	-0.1675835
0.02	-0.2358723
0.04	-0.1675835
0.06	-0.2358723
0.08	-0.1675835
0.1	-0.1675835
0.12	0.7884731
0.14	0.7884731
0.16	0.8567629
0.18	-0.1675835
0.2	-0.2358723
0.22	-0.2358723
0.24	0.7884731
0.26	0.7884731
0.28	0.7884731
0.3	-0.2358723
0.32	-0.1675835
0.34	-0.1675835
0.36	-0.2358723
0.38	-0.1675835
0.4	-0.1675835
0.42	-0.2358723
0.44	0.8567629
0.46	0.7201834
0.48	0.7884731
0.5	-0.2358723
0.52	-0.1675835
0.54	-0.09929276
0.56	0.7884731
0.58	0.8567629
0.6	0.7884731
0.62	-0.1675835
0.64	-0.3041611
0.66	-0.1675835
0.68	-0.1675835
0.7	-0.1675835
0.72	0.7884731
0.74	0.7201834
0.76	-0.1675835
0.78	-0.2358723
0.8	-0.1675835
0.82	-0.1675835
0.84	-0.1675835
0.86	-0.2358723
0.88	-0.1675835
0.9	-0.1675835
0.92	-0.1675835
0.94	-0.1675835
0.96	-0.1675835
0.98	-0.1675835
1	-0.2358723
1.02	-0.1675835
1.04	0.8567629
1.06	0.4470243
1.08	1.53966
1.1	1.129922
1.12	1.812819
1.14	0.8567629
1.16	2.495715
1.18	2.495715
1.2	3.520061
1.22	3.861508
1.24	4.134667
1.26	5.227303
1.28	5.500462
1.3	7.275993
1.32	6.524806
1.34	8.02718
1.36	8.232048
1.38	8.983234
1.4	8.914946
1.42	7.95889
1.44	8.232048
1.46	7.685731
1.48	7.275993
1.5	7.275993
1.52	6.319938
1.54	6.593096
1.56	5.910199
1.58	4.202957
1.6	3.861508
1.62	3.58835
1.64	2.222556
1.66	1.47137
1.68	1.129922
1.7	-0.1675835
1.72	-0.8504791
1.74	-0.1675835
1.76	-2.079693
1.78	-2.079693
1.8	-2.079693
1.82	-3.718647
1.84	-2.147984
1.86	-2.079693
1.88	-2.147984
1.9	-2.76259
1.92	-2.147984
1.94	-1.738245
1.96	-2.421143
1.98	-0.8504791
2	-0.5090313
2.02	-0.1675835
2.04	0.1738663
2.06	-0.5090313
2.08	-0.09929276
2.1	0.4470243
2.12	0.1055765
2.14	-0.1675835
2.16	0.4470243
2.18	-0.8504791
2.2	0.1738663
2.22	0.1738663
2.24	0.1055765
2.26	0.1738663
2.28	0.1738663
2.3	0.1055765
2.32	0.1738663
2.34	0.1055765
2.36	0.1738663
2.38	0.1738663
2.4	0.1055765
2.42	0.1738663
2.44	0.1738663
2.46	0.1055765
2.48	0.1055765
2.5	0.1055765
2.52	0.1738663
2.54	0.1738663
2.56	0.1055765
2.58	0.1055765
2.6	0.1055765
2.62	0.1738663
2.64	0.1738663
2.66	0.1738663
2.68	0.1055765
2.7	0.03728676
2.72	0.1055765
2.74	0.1738663
2.76	0.1738663
2.78	0.1738663
2.8	0.1738663
2.82	0.1055765
2.84	0.1738663
2.86	0.1738663
2.88	0.1055765
2.9	0.1055765
2.92	0.1738663
2.94	0.1055765
2.96	0.1055765
2.98	0.1055765
3	0.1738663
3.02	0.1738663
3.04	0.1055765
3.06	0.1055765
3.08	0.1738663
