Tiempo_s	Posicion_m	Angulo_rad
0	0.0223648715764284	0.107503905892372
0.0599999999999996	0.0162188000977039	0.107503905892372
0.0799999999999996	0.0257793553173542	0.107503905892372
0.0999999999999996	0.0162188000977039	0.107503905892372
0.12	0.0155359031632543	0.107503905892372
0.14	0.0257793553173542	0.107503905892372
0.16	0.0230477694422007	0.107503905892372
0.18	0.0291938409209251	0.107503905892372
0.2	0.0353399105370045	0.107503905892372
0.22	0.0517294369637966	0.107503905892372
0.24	0.054461020976305	0.107503905892372
0.26	0.0674360617995262	0.107503905892372
0.28	0.0769966170191765	0.107503905892372
0.3	0.0906545519828796	0.107503905892372
0.32	0.0974835231900215	0.107503905892372
0.34	0.107726976275444	0.107503905892372
0.36	0.114555940032005	0.107503905892372
0.38	0.121384918689728	0.107503905892372
0.4	0.139140233397484	0.107503905892372
0.42	0.15689554810524	0.107503905892372
0.44	0.165090307593346	0.107503905892372
0.46	0.174650862812996	0.107503905892372
0.48	0.194454878568649	0.107503905892372
0.5	0.2040154337883	0.107503905892372
0.52	0.219722062349319	0.107503905892372
0.54	0.231331303715706	0.107503905892372
0.56	0.258647173643112	0.107503905892372
0.58	0.292109131813049	0.107503905892372
0.6	0.292792022228241	0.107503905892372
0.62	0.309864431619644	0.107503905892372
0.64	0.333765834569931	0.107503905892372
